culture,product_name,purchase_frequency
English,Whole Wheat English Muffins,268
English,of Norwich Original English Mustard Powder Double Superfine,5
French,5 In French Rolls,22
French,All Natural French Toast Sticks,111
French,All Natural French Vanilla Hand & Body Lotion,1
French,All Natural Whey Protein Isolate Powder French Vanilla,1
French,All-In-One French Vanilla Nutritional Shake Sachet,29
French,All-In-One Nutritional Shake French Vanilla,4
French,Artichoke Burgers French Herb,6
French,Artisan French Rolls,13
French,Authentic French Brioche,282
French,Authentic French Brioche Hamburger Buns,380
French,Authentic French Brioche Rolls,80
French,Authentic French Cheese & Cream Brioche,5
French,Authentic French Chocolate Swirl Brioche,34
French,Authentic French Sliced Brioche,7
French,Blooming Jasmine French Milled Oval Soap,1
French,Bold & Crispy Zesties! Crispy Seasoned French Fried Potatoes,18
French,"Bread, French Baguette, Mini",8
French,"Bread, French, Sweet, Sliced",1
French,Breakfast Essentials® Classic French Vanilla Powder Drink Mix,3
French,Cafe-Style French Vanilla Beverage Mix,2
French,CalNaturale Svelte Organic Protein Shake French Vanilla,16
French,Caramel Galette French Cookies,1
French,"Chambord French Press, 8 Cup",2
French,Cheddar French Fried Onions,2
French,Chocolate Chip French Twists,3
French,Cinnamon French Toast Stick,1
French,Cinnamon French Toast Sticks,20
French,Cinnamon French Toaster Sticks,35
French,Cinnamon Swirl French Toast,2
French,Classic Cut French Fries,3
French,Classic French Demi-Glace,12
French,Classic French White Bread,28
French,Cocoa Classics French Vanilla & Chocolate Hot Cocoa Mix,2
French,Coffee Mate French Vanilla Creamer Packets,22
French,"Coffee, French Vanilla, K-Cup Packs",10
French,CoffeeMate French Vanilla Sugar Free Creamer,16
French,Country French Bread,48
French,Country French With Orange Blossom Honey Dressing,2
French,Country Style French Fries Seasoned Potatoes With Skins,3
French,Creamy French Dressing Salad,4
French,Creamy French Style Fat Free Dressing,1
French,Creamy Swiss French Onion Wedges Cheese,14
French,Creme Fraiche French Cultured Cream,68
French,Crinkle Cut French Fried Potatoes,6
French,Crinkle Cut French Fries,160
French,Crinkle Fries French Fried Sweet Potatoes,4
French,Dairy Free French Vanilla Coconut Milk Creamer,123
French,Dairy Free French Vanilla Creamer Almond Milk,56
French,Dark French Roast Ground Coffee,9
French,Dark French Roast Whole Bean Coffee,23
French,Dark Roast French Roast Ground Coffee,1
French,Decaffeinated French Roast Coffee,1
French,Decaffeinated French Roast Dark Roast Ground Coffee,3
French,Deluxe French Dressing,2
French,"Eggo French Toaster Sticks, Cinnamon",2
French,Extra Crispy Restaurant Seasoned Style French Fried Potatoes,3
French,Fair Trade Organic French Roast Coffee,3
French,Family Size Bag of French Green Beans,27
French,Fat Free French Vanilla Coffee Creamer,3
French,Fat Free French Vanilla Creamer,124
French,Fat Free Smooth & Creamy French Vanilla Organic Yogurt,8
French,Favorites French Bread Supreme Pizza,6
French,Five Cheese & Garlic French Bread Pizza Singles,16
French,Flavors French Vanilla Mountain Grown Ground Coffee,2
French,French Baguette,171
French,French Baguette Bread,94
French,"French Baguettes, Take & Bake, Twin Pack",147
French,French Batard Bread,10
French,French Beans,37
French,French Bread,55
French,French Bread Baguette,2
French,French Bread Pepperoni Pizza,28
French,French Bread Pizza Cheese,17
French,French Bread Pizza Deluxe,15
French,French Bread Pizza Pepperoni,59
French,French Brie,3
French,French Butter Cookie With Coconut,3
French,French Butter Cookies Coated In Milk Chocolate,5
French,French Butter Cookies Coated in Dark Chocolate,4
French,French Butter Cookies With Lemon & Almond,3
French,French Cheesecake,2
French,French Cut Green Beans,18
French,French Demi Baguette,24
French,French Dinner Roll,2
French,French Dinner Rolls,4
French,French Dip Au Jus Concentrated Sauce,2
French,French Feta,31
French,French Fried Curly Fries Potatoes,1
French,French Fried Onions,2
French,French Fries,5
French,French Green Beans,143
French,French Green Lentils,3
French,French Lavender All-Purpose Natural Surface Cleaner,28
French,French Lavender Bath & Shower Gel,3
French,French Lavender Body Lotion,3
French,French Lavender Clarifying Shampoo,2
French,French Lavender Hand Soap,19
French,French Lavender Hand Wash,6
French,French Lavender Organic Whole Milk Yogurt,4
French,French Lavender Soothing Shower Gel,6
French,French Lilac Soy Candle,1
French,French Lilac Votive Candles,1
French,French Loaf,98
French,French Milled Oval Almond Gourmande Soap,1
French,French Milled Shea Butter Oval Soap,1
French,French Mini Madeleines Sponge Cakes,3
French,French Onion Chips,46
French,French Onion Dip,194
French,French Onion Dip Mix,59
French,French Onion Dip Potato Crisps,1
French,French Onion Recipe Mix,11
French,French Onion Snack Dip,2
French,French Onion Soup,26
French,French Onion Sour Cream Dip,50
French,French Onion Veggie Dip,1
French,French Organic Dressing,2
French,French Pure Butter Cookies,4
French,French Roast,1
French,French Roast Coffee K-Cups,12
French,French Roast Dark Coffee,1
French,French Roast Dark Roast Coffee K- Cups,11
French,French Roast Dark Roast Ground Coffee,3
French,French Roast Dark Roast K-Cup Packs Coffee,8
French,French Roast Ground Coffee,186
French,French Roast K Cup,1
French,French Roast Organic Whole Bean Coffee,20
French,French Roast Single Serve Coffee K-Cups,37
French,French Roast Single Serve Cups Dark Roast Coffee,2
French,French Roast Whole Bean Coffee,78
French,"French Roast, Dark Roast K-Cups",46
French,French Rolls,26
French,French Rose Clay,1
French,French Sandwich Rolls,50
French,French Sea Salt Caramel Butter Cookies,1
French,French Sliced Bread,12
French,French Snacking Brie,9
French,French Steak Rolls,2
French,French Style Cut Green Beans,1
French,French Style Fresh Cut Green Beans,36
French,French Style Green Beans,12
French,French Style Green Beans No Salt Added,1
French,French Toast Baked Graham Snacks,1
French,French Toast Sticks,2
French,French Triple Creme Cheese,13
French,French Vanilla Almond Granola,32
French,French Vanilla Cappuccino,3
French,French Vanilla Coconut Milk Creamer,225
French,French Vanilla Coffee Creamer,122
French,French Vanilla Creamer,362
French,French Vanilla Creme Protein Energy Bars,5
French,French Vanilla Dairy Creamer,2
French,French Vanilla Fat Free Coffee Creamer,11
French,French Vanilla Fat Free Powder Coffee Creamer,4
French,French Vanilla Flavored Medium Roast Ground Coffee,2
French,French Vanilla Granola,3
French,French Vanilla Half+Half,71
French,French Vanilla Ice Cream,99
French,French Vanilla Joy Candle,11
French,French Vanilla Light Roast K-Cup Packs Arabica Coffee,12
French,French Vanilla Liquid Coffee Creamer,3
French,French Vanilla Medium Roast K-Cup Packs Coffee,1
French,French Vanilla Powder Coffee Creamer,11
French,French Vanilla Ready To Drink Shakes,2
French,French Vanilla Rice Pudding,10
French,French Vanilla Soy Creamer,117
French,French Vanilla Sugar Free Coffee Creamer,1
French,French Vanilla Sugar Free Liquid Coffee Creamer,157
French,French Vanilla Sugar Free Non Dairy Creamer,1
French,French Vanilla Sugar Free Powder Coffee Creamer,3
French,French Vanilla Super Moist Cake Mix,3
French,French Vanilla Syrup,5
French,French Vanilla Whey Based Protein Powder,9
French,French Vanilla Yogurt,31
French,French Vanilla Yogurt Vanilla,43
French,French Wine Aperitif,4
French,Fresh Cut Blue Lake French Style Green Beans,3
French,Fresh Cut French Style Green Beans,6
French,Fresh French Lavender Body Bar Soap,1
French,"Giant French Prunes, Pitted",1
French,Gluten Free Cinnamon French Toast Sticks,35
French,Gluten Free Class French Dinner Rolls,44
French,Gluten Free Extra Crispy Fast Food French Fried Potatoes,61
French,Gluten Free French Baguettes,29
French,Golden Crinkles French Fried Potatoes,82
French,Golden Fries French Fried Potatoes,55
French,Golden Twirls French Fried Potatoes with Skins,5
French,Gourmet French Roast Ground Coffee,2
French,"Green Beans, French Herb",3
French,"Grilled white meat chicken in an apple reduction with cranberries, French cut green beans & carrots and whole wheat orzo pasta. Apple Cranberry Chicken",5
French,Ground Coffee French Roast,28
French,"Hand Soap, Refill Size, French Lavender",8
French,Handcrafted French Pot Bourbon Pecan Chocolate Chip Ice Cream,2
French,Handcrafted French Pot Ice Cream Toffee Chocolate Chip,1
French,Handcrafter French Pot Ice Cream Buckeye Chocolate Chip,1
French,Hearty French Country Vegetable Soup,36
French,Homestyle French Toast,10
French,Homestyle French Toast Sticks,10
French,Honey French Dressing,2
French,"Ice Cream, Natural, French Vanilla",1
French,Instant French Vanilla Pudding & Pie Filling,7
French,Intense & Smoky French Roast Dark Roast Ground Coffee,46
French,Julienne Fancy French Style Beets,5
French,Jumbo Crinkle Cut French Fries,5
French,Light Deluxe French Salad Dressing,1
French,Light French Onion Veggie Dip,1
French,Light French Silk Slow Churned Ice Cream,5
French,Light Sweet & Spicy French Salad Dressing,2
French,Lite Country French Dressing,1
French,Lite French Onion Dip,10
French,Mache Rosettes French Salad Mix,262
French,"Mini I.D.'s French Vanilla Creamer, Singles",27
French,Mini Madeleines French Sponge Cakes with Chocolate Chips,1
French,NOTICeables French Lavender & Riviera Nights Scented Oil Refill,1
French,Natures's Dairy-Free Creamer French Vanilla Unsweetened,14
French,Non Alcoholic French Vanilla Coffee Creamer,2
French,Non-Dairy French Vanilla Singles Creamer,13
French,One French Vanilla Nutritional Shake Drink Mix,15
French,Organic Baby French Beans,2
French,Organic Bake at Home French Bread,4
French,Organic Cold Brew Coffee Concentrate French vanilla,2
French,Organic Fat Free French Vanilla Yogurt,18
French,Organic French Agen Plums,2
French,Organic French Beans,9
French,Organic French Cut Green Beans,3
French,Organic French Dressing Organic,11
French,Organic French Fingerling Potato,27
French,Organic French Green Lentils,3
French,Organic French Onion Dip Mix,1
French,Organic French Onion Soup,11
French,Organic French Roast,1
French,Organic French Roast Coffee,7
French,Organic French Roast Coffee Beans,2
French,Organic French Roast Ground Coffee,70
French,Organic French Roast Whole Bean Coffee,1
French,Organic French Style Meyer Lemon Yogurt,6
French,Organic French Vanilla Almond Granola,38
French,Organic French Vanilla Ice Cream,1
French,Organic French Vanilla Yogurt,6
French,Organic French-Style Meyer Lemon Yogurt,28
French,Organic Lower Sodium French Lentil Soup,10
French,Organic Lowfat French Vanilla Yogurt,174
French,Organic Plain French Style Yogurt,31
French,Organic Protein Shake French Vanilla,8
French,Organic Steve's Smooth French Coffee,2
French,Organic Whole Milk French Vanilla Yogurt,159
French,Original French Dressing,1
French,Original French Fried Onions,53
French,Original French Toast Sticks,10
French,Original French Vanilla Yogurt,144
French,Original Snack Size French Twists,2
French,Pain Rustique French Bread,13
French,Petite French Baguette,25
French,Pirouette French Vanilla Creme Filled Wafers,2
French,Potato French Fingerling Organic,1
French,"Premium Dressing, French Vinaigrette",2
French,Premium French Sparkling Pink Lemonade Soda,1
French,Protein Energy Bar Original French Vanilla Creme,14
French,Real French Vinaigrette Dressing,96
French,Rich & Creamy Grand French Vanilla Ice Cream,3
French,Rocks N Rolls Almond French Munching Cookies,2
French,Rocks N Rolls Orange Chocolate Chip French Munching Cookies,1
French,Serenity French Lavender Bath Salt & Soak,5
French,Shoestring French Fried Potatoes,1
French,Shoestrings French Fried Potatoes,23
French,Signature French Vanilla Cake Mix,2
French,Simply Country Style Olive Oil and Sea Salt French Fried Potatoes,1
French,Singles Pepperoni French Bread Pizzas,16
French,Singles Supreme French Bread Pizzas,6
French,Sliced Extra Sour French Bread,3
French,Sliced Fancy French Style Green Beans,4
French,Slow Churned French Vanilla Light Ice Cream,3
French,Smooth & Creamy Organic Lowfat French Vanilla Yogurt,56
French,"Soap, French Milled Oval, Climbing Wild Rose",1
French,"Soap, French Milled Oval, Lavender Fields",2
French,Soft French-Style Herb-Garlic Nut Cheese,31
French,Soft French-Style Nut Cheese,10
French,Sour Sliced French Enriched Bread,5
French,Special K Protein French Vanilla Shakes,4
French,Steak Cut French Fried Potatoes,3
French,Steak Fries Thick-Cut French Fried Potatoes,25
French,Straight Fries French Fried Sweet Potatoes,8
French,Strawberry French Cheesecake,3
French,Sugar Free French Vanilla,6
French,Sugar Free French Vanilla Coffee Creamer,1
French,Swirl Thick Slice French Toast Bread,3
French,Take & Bake French Dinner Rolls,16
French,Taster's Choice French Roast Instant Coffee,8
French,Three Meat French Bread Pizza Singles,6
French,Uniquely Creamy French Vanilla Frozen Yogurt,1
French,Via Instant Dark French Roast Coffee,4
French,Waffle Fries French Fried Potatoes,10
French,Whole Bean Coffee French Roast,2
French,Whole Bean French Roast Dark Roast Blend Extra Bold Coffee,39
French,Zesty French Dressing,5
German,Authentic German Spaetzle Home-Style Egg-Noodles,1
German,Delights Super Moist German Chocolate Cake Mix,2
German,German Barrel Sauerkraut,8
German,German Bologna,5
German,German Chocolate Cake Mix,1
German,German Chocolate Cake Slice,3
German,German Farm Bread,21
German,German Potato Salad,1
German,German Quality Beer,1
German,German Style Quark Vanilla Bean,8
German,German's Sweet Chocolate Baking Bar,5
German,Gingerman Sweet and Simple Cookkies,9
German,Sausage Smoked Sweet German Brand,5
German,Traditional German Egg Broad Pasta,5
German,Traditional German Egg Noodles Spaetzle Farmer Style,4
German,Traditional German Egg Pasta Thin Soup Noodles,8
Greek,0% Fat Black Cherry Greek Yogurt y,9
Greek,0% Fat Blueberry Greek Yogurt,15
Greek,0% Fat Greek Yogurt Black Cherry on the Bottom,2
Greek,0% Fat Greek Yogurt Vanilla,2
Greek,0% Fat Organic Greek Vanilla Yogurt,65
Greek,0% Fat Peach Greek Yogurt,3
Greek,0% Fat Strawberry Greek Yogurt,8
Greek,0% Fat Superfruits Greek Yogurt,18
Greek,0% Fat Vanilla Greek Yogurt,9
Greek,0% Greek Strained Yogurt,413
Greek,0% Greek Yogurt Black Cherry on the Bottom,64
Greek,"0% Greek, Blueberry on the Bottom Yogurt",39
Greek,0% Milkfat Greek Plain Yogurt,3
Greek,0% Milkfat Greek Yogurt Honey,2
Greek,100 Calorie Pineapple Coconut Blended Greek Yogurt,9
Greek,100% Greek Classic Extra Virgin Olive Oil,3
Greek,2% Greek Style Vanilla Yogurt,1
Greek,2% Milkfat Greek Yogurt Key Lime Blended,30
Greek,2% Milkfat Greek Yogurt with Mango On The Bottom,1
Greek,2% Strawberry N Cream Greek Whips,1
Greek,Activia Greek Nonfat Yogurt Blueberry,3
Greek,Activia Greek Yogurt Blueberry & Strawberry,2
Greek,"Activia Light Greek Cherry Nonfat Yogurt, Fruit on the Bottom",1
Greek,Air Effects Air Refresher Greek Seaside,2
Greek,All Natural Greek With Feta & Black Olive Dressing & Marinade,1
Greek,Ancient Grains Apricot Blended Low-Fat Greek Yogurt,2
Greek,Artisanal Nonfat Coffee Greek Yogurt,9
Greek,Baby Food Stage 2 Raspberry Spinach & Greek Yogurt,56
Greek,Banana Cream Traditional Oikos Greek Yogurt,19
Greek,Banana Greek Nonfat Yogurt,1
Greek,Banana Low-Fat Greek Yogurt,1
Greek,Banana Peanut Butter Greek Frozen Yogurt,2
Greek,Banana on the Bottom Greek Yogurt Low-Fat Yogurt,6
Greek,Bistro Greek Feta Chopped Salad Bowl,1
Greek,Black Cherry 0% Fat Oikos Greek Yogurt,7
Greek,Black Cherry Greek Style Yogurt,4
Greek,Black Cherry Non-Fat Greek Yogurt,1
Greek,Blackberry Greek Yogurt + Chia,7
Greek,Blended Apple Cinnamon Greek Yoghurt,4
Greek,Blueberry Greek Yogurt,2
Greek,Blueberry Greek Yogurt + Chia,13
Greek,Blueberry Greek Yogurt Meal Bars,2
Greek,Blueberry Vanilla Graham Greek Frozen Yogurt,3
Greek,Blueberry on the Bottom Nonfat Greek Yogurt,220
Greek,California Peach Greek Yogurt,2
Greek,Capretta Greek Original Goat Yogurt,12
Greek,Caramel Macchiato Nonfat Greek Yogurt,2
Greek,Cherry Pomegranate Greek Yogurt,206
Greek,Chipotle Ranch Greek Yogurt Dip,3
Greek,Chocolate Chip Cookie Dough Frozen Greek Yogurt Bars,39
Greek,Chocolate Fudge Greek Yogurt Bar,3
Greek,Chopped Greek Bacon and Bleu Yogurt Salad Kit,6
Greek,Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing,25
Greek,Classic Greek Dressing,2
Greek,Clover Org Greek Plain,17
Greek,Coconut & Chia Greek Yogurt,4
Greek,Coconut Blended Greek Yogurt,122
Greek,Coconut Blended Low-Fat Greek Yogurt,11
Greek,Coconut Macaroon Greek 100 Whips,1
Greek,Coffee Blended Low-Fat Greek Yogurt,22
Greek,Coffee Chocolate Chip Frozen Greek Yogurt Bars,23
Greek,Coffee Chocolate Chunk Greek Nonfat Yogurt & Cinnamon Crisps Dippers,1
Greek,Cookies & Cream Greek Crunch Yogurt,2
Greek,Crossovers Lemon with Shortbread Crumble Low-Fat Greek Yogurt,5
Greek,Crossovers Maple Syrup Blended with Ancient Grain Granola Low-Fat Greek Strained Yogurt,10
Greek,Crunch Chocolate Caramel Pretzel Greek Yogurt,1
Greek,Cucumber Dill Greek Yogurt Dressing,2
Greek,Dairy Free Greek Style Vanilla Coconut Milk Yogurt,6
Greek,Dairy Free Greek Vinaigrette Made With Avocado Oil & Oil of Oregano,13
Greek,Dairy Free Greek Yogurt Black Cherry,25
Greek,Dairy Free Greek Yogurt Blueberry,21
Greek,Dairy Free Greek Yogurt Strawberry,33
Greek,Deli-Sliced Golden Greek Pepperoncini,19
Greek,Diced Onion Greek Yogurt Dip,5
Greek,Fage Nonfat Plain Greek Yogurt,1
Greek,Farmstyle Greek Old Fashioned Vanilla Strained Lowfat Yogurt,18
Greek,"Farmstyle Greek Strained Yogurt Oregon Blueberry, 2% Milkfat",4
Greek,"Farmstyle Greek Strained Yogurt Oregon Strawberry, 2% Milkfat",13
Greek,"Farmstyle Greek Strained Yogurt Washington Raspberry, 2% Milkfat",8
Greek,Fat Free Lemon Greek Yogurt,1
Greek,Fat-Free Greek Yogurt with Strawberry and Granola,1
Greek,"Fenugreek Seed, 610 mg, Capsules",3
Greek,Flip Chipotle Pineapple Low-Fat Greek Yogurt,1
Greek,Flip Chocolate Haze Craze Low-Fat Greek Yogurt,71
Greek,Flip Coffee Break Bliss Greek Yogurt,38
Greek,Flip Greek Yogurt Tropical Escape,7
Greek,Flip PB&J Low-Fat Greek Yogurt,26
Greek,Flip Peanut Butter Dream Greek Yogurt,76
Greek,Flip Pumpkin Harvest Crisp Lowfat Greek Yogurt,10
Greek,Flip Pure Strawberry Pure Whole Milk Greek Yogurt & Strawberries,1
Greek,Flip™ Low-Fat Almond Coco Loco Lowfat Greek Yogurt,182
Greek,Flip™ Low-Fat Key Lime Crumble Greek Yogurt,161
Greek,Frozen Chocolate Fudge Greek Yogurt,37
Greek,Frozen Greek Yogurt Bars Blueberry,10
Greek,Frozen Greek Yogurt Bars Chocolate Chip,2
Greek,Frozen Greek Yogurt Bars With Toffee & Caramel & Chocolate Chips,3
Greek,Frozen Greek Yogurt Coconut Bars,20
Greek,Fruit on the Bottom Greek Blueberry Nonfat Yogurt,8
Greek,Garlic Stuffed Greek Olives,1
Greek,Gluten Free Greek Plain Yogurt,1
Greek,Grape Blended Low-Fat Greek Yogurt Pouches,26
Greek,Greek & Chia Blood Orange Yogurt,1
Greek,Greek & Chia Blueberry Nonfat Yogurt,5
Greek,Greek 0% Fat Smooth & Creamy Plain Yogurt,3
Greek,Greek 0% Fat Smooth & Creamy Vanilla,1
Greek,Greek 0% Fat Strawberry on the Bottom Yogurt,17
Greek,Greek 100 Calories Apple Pie Fat Free Yogurt,4
Greek,Greek 100 Calories Black Cherry Fat Free Yogurt,27
Greek,Greek 100 Calories Blackberry Pie Yogurt,1
Greek,Greek 100 Calories Blended Strawberry Cheesecake Fat Free Yogurt,4
Greek,Greek 100 Calories Blueberry Fat Free Yogurt,16
Greek,Greek 100 Calories Coconut Fat Free Yogurt,5
Greek,Greek 100 Calories Key Lime Fat Free Yogurt,12
Greek,Greek 100 Calories Mixed Berry Yogurt,42
Greek,Greek 100 Calories Peach Fat Free Yogurt,14
Greek,Greek 100 Calories Strawberry Banana Fat Free Yogurt,19
Greek,Greek 100 Calories Tropical Fruit Yogurt,1
Greek,Greek 100 Calories Vanilla Fat Free Yogurt,1
Greek,Greek 100 Calories Whips! Blueberry Fat Free Yogurt Mousse,4
Greek,Greek 100 Calories Whips! Peaches 'n Cream Fat Free Yogurt Mousse,1
Greek,Greek 100 Calories Whips! Raspberry Yogurt,6
Greek,Greek 100 Calories Whips! Strawberry Fat Free Yogurt Mousse,9
